# reporter: v18 (2026-09-18); surface: matrix; filters: subbench=bounded, version=0.3, testee=libpcre2_10.46_interp-caps-simdna, testee=libpcre2_10.46_jit-caps-simdna, testee=pcrec_25b1984f_auto-caps-simdna, testee=pcrec_25b1984f_auto-nocaps-simdna, testee=pcrec_25b1984f_vm-caps-simdna, testee=pcrec_25b1984f_vm-in-caps-simdna, testee=rust_1.13.1_default-caps-simdna; source: store/index.tsv (9 record(s) matching this query); records: 7; subbench_versions: bounded@0.3; machines: budu-ryzen1600; schema_versions: 1.5,1.6; superseded: 2; newer_not_measured: 0; testees: libpcre2_10.46_interp-caps-simdna,libpcre2_10.46_jit-caps-simdna,pcrec_25b1984f_auto-caps-simdna,pcrec_25b1984f_auto-nocaps-simdna,pcrec_25b1984f_vm-caps-simdna,pcrec_25b1984f_vm-in-caps-simdna,rust_1.13.1_default-caps-simdna
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee/best_ns recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
subbench	pattern	regime_or_na	form	best_testee	best_ns	libpcre2_10.46_interp-caps-simdna	libpcre2_10.46_jit-caps-simdna	pcrec_25b1984f_auto-caps-simdna	pcrec_25b1984f_auto-nocaps-simdna	pcrec_25b1984f_vm-caps-simdna	pcrec_25b1984f_vm-in-caps-simdna	rust_1.13.1_default-caps-simdna
bounded@0.3	hex32	match-compliance	whole-subject	pcrec_25b1984f_vm-in-caps-simdna	678.1	excluded	excluded	1.465127	1.467409	1.020702	1.000000	1.111624
bounded@0.3	hex32	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	2804.1	11.491737	1.778111	1.007391	1.000000	4.035300	3.947478	2.267315
bounded@0.3	line-80	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	32186.9	3.959065	1.000000	2.342779	2.349214	2.455860	2.458505	34.280453
bounded@0.3	line-80	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	9784.7	1.000000	1.000193	excluded	excluded	excluded	excluded	excluded
bounded@0.3	line-80	match-compliance	whole-subject	pcrec_25b1984f_vm-in-caps-simdna	4621.7	excluded	excluded	1.176565	1.171402	1.001300	1.000000	4.054882
bounded@0.3	line-80	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	2928.9	2.102192	1.000000	1.273284	1.278985	5.524302	5.536681	7.768039
bounded@0.3	nest2-4	large-subject-throughput	plain	pcrec_25b1984f_auto-nocaps-simdna	73934.9	6.264610	1.430624	1.002771	1.000000	6.325228	6.335535	4.559094
bounded@0.3	nest2-4	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	105170.8	1.002147	1.000000	excluded	excluded	excluded	excluded	excluded
bounded@0.3	nest2-4	match-compliance	whole-subject	pcrec_25b1984f_auto-caps-simdna	744.7	excluded	excluded	1.000000	1.001489	24.845051	24.917378	2.917280
bounded@0.3	nest2-4	short-subject-search	plain	pcrec_25b1984f_auto-caps-simdna	1294.2	6.247264	2.116803	1.000000	1.012570	4.294489	4.368146	7.655418
bounded@0.3	nest2-64	large-subject-throughput	plain	pcrec_25b1984f_auto-nocaps-simdna	62432.0	1.518913	1.165720	1.001552	1.000000	7.650670	7.452739	refused
bounded@0.3	nest2-64	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	7681.8	1.000000	1.000525	excluded	excluded	excluded	excluded	refused
bounded@0.3	nest2-64	match-compliance	whole-subject	pcrec_25b1984f_vm-caps-simdna	2096.9	excluded	excluded	1.037235	1.023444	1.000000	1.057011	refused
bounded@0.3	nest2-64	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	1692.7	4.082190	1.785229	1.001971	1.000000	3.628439	3.667775	refused
bounded@0.3	nest2-letters-6	large-subject-throughput	plain	pcrec_25b1984f_auto-nocaps-simdna	133515.7	7.051554	1.318702	1.010792	1.000000	1.954111	1.999591	5.065539
bounded@0.3	nest2-letters-6	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	11355876.9	1.000489	1.000000	excluded	excluded	excluded	excluded	excluded
bounded@0.3	nest2-letters-6	match-compliance	whole-subject	pcrec_25b1984f_auto-nocaps-simdna	1210.3	excluded	excluded	1.003606	1.000000	1975.795043	1973.222333	1.305979
bounded@0.3	nest2-letters-6	short-subject-search	plain	pcrec_25b1984f_auto-caps-simdna	1167.5	6.082894	2.280448	1.000000	1.000468	3.469359	3.648222	7.921142
bounded@0.3	nest3-16	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	54184.9	2.503504	1.000000	1.155814	1.154037	14.863839	14.829147	refused
bounded@0.3	nest3-16	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	12675.7	1.000000	1.004279	excluded	excluded	excluded	excluded	refused
bounded@0.3	nest3-16	match-compliance	whole-subject	pcrec_25b1984f_vm-in-caps-simdna	3364.3	excluded	excluded	1.145342	1.143182	1.146332	1.000000	refused
bounded@0.3	nest3-16	short-subject-search	plain	pcrec_25b1984f_auto-caps-simdna	1701.7	5.308088	1.784060	1.000000	1.003373	5.941915	5.989501	refused
bounded@0.3	nest3-3	large-subject-throughput	plain	pcrec_25b1984f_auto-nocaps-simdna	69847.4	7.450162	1.237243	1.001751	1.000000	6.477906	6.575105	4.669242
bounded@0.3	nest3-3	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	18298027.5	1.001978	1.000000	excluded	excluded	excluded	excluded	excluded
bounded@0.3	nest3-3	match-compliance	whole-subject	pcrec_25b1984f_auto-caps-simdna	886.5	excluded	excluded	1.000000	1.005253	3185.603152	3139.553445	2.880759
bounded@0.3	nest3-3	short-subject-search	plain	pcrec_25b1984f_auto-nocaps-simdna	1371.0	8.447323	2.025853	1.006595	1.000000	4.167955	4.246899	7.937741
bounded@0.3	pw-8-64	large-subject-throughput	plain	pcrec_25b1984f_vm-in-caps-simdna	116694.8	3.026054	1.110819	1.643697	1.653306	1.041083	1.000000	5.517898
bounded@0.3	pw-8-64	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	7172.8	1.000000	1.010848	excluded	excluded	excluded	excluded	excluded
bounded@0.3	pw-8-64	match-compliance	whole-subject	pcrec_25b1984f_vm-in-caps-simdna	2068.7	excluded	excluded	1.733785	1.712787	1.007541	1.000000	3.350054
bounded@0.3	pw-8-64	short-subject-search	plain	pcrec_25b1984f_vm-in-caps-simdna	2220.4	3.196988	1.199810	1.333923	1.336506	1.072752	1.000000	9.423989
bounded@0.3	year4	large-subject-throughput	plain	pcrec_25b1984f_auto-nocaps-simdna	88477.6	6.359595	2.777686	1.001698	1.000000	2.199004	2.235086	5.337150
bounded@0.3	year4	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	2910.7	1.006857	1.000000	excluded	excluded	excluded	excluded	excluded
bounded@0.3	year4	match-compliance	whole-subject	pcrec_25b1984f_vm-in-caps-simdna	384.9	excluded	excluded	1.464885	1.449142	1.171577	1.000000	1.738582
bounded@0.3	year4	short-subject-search	plain	pcrec_25b1984f_auto-caps-simdna	1791.6	7.793313	1.954608	1.000000	1.001312	2.678479	2.668014	4.676611
