# reporter: v18 (2026-09-18); surface: matrix; filters: subbench=bounded, version=0.3, since=2026-09-04T23:00:00Z, until=2026-09-06T18:10:00Z, testee=libpcre2_10.46_interp-caps-simdna, testee=libpcre2_10.46_jit-caps-simdna, testee=pcrec_288d505_vm-in-caps-simdna, testee=pcrec_334fd10e_auto-caps-simdna, testee=pcrec_334fd10e_vm-caps-simdna, testee=pcrec_d34c9131_auto-caps-simdna, testee=pcrec_d34c9131_vm-caps-simdna, testee=pcrec_d34c9131_vm-in-caps-simdna; source: store/index.tsv (8 record(s) matching this query); records: 8; subbench_versions: bounded@0.3; machines: budu-ryzen1600; schema_versions: 1.5; superseded: 0; newer_not_measured: 0; testees: libpcre2_10.46_interp-caps-simdna,libpcre2_10.46_jit-caps-simdna,pcrec_288d505_vm-in-caps-simdna,pcrec_334fd10e_auto-caps-simdna,pcrec_334fd10e_vm-caps-simdna,pcrec_d34c9131_auto-caps-simdna,pcrec_d34c9131_vm-caps-simdna,pcrec_d34c9131_vm-in-caps-simdna
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee/best_ns recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
subbench	pattern	regime_or_na	form	best_testee	best_ns	libpcre2_10.46_interp-caps-simdna	libpcre2_10.46_jit-caps-simdna	pcrec_288d505_vm-in-caps-simdna	pcrec_334fd10e_auto-caps-simdna	pcrec_334fd10e_vm-caps-simdna	pcrec_d34c9131_auto-caps-simdna	pcrec_d34c9131_vm-caps-simdna	pcrec_d34c9131_vm-in-caps-simdna
bounded@0.3	floor	large-subject-throughput	plain	pcrec_334fd10e_auto-caps-simdna	1671.2	1.073328	2.532753	18.915344	1.000000	37.780617	1.000149	37.815176	37.747264
bounded@0.3	floor	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	1409.6	1.002654	1.000000	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.3	floor	match-compliance	whole-subject	pcrec_334fd10e_vm-caps-simdna	275.2	excluded	excluded	1.078464	1.670116	1.000000	1.814840	1.000887	1.078849
bounded@0.3	floor	short-subject-search	plain	pcrec_d34c9131_auto-caps-simdna	468.5	4.111193	3.758980	2.291170	1.026358	3.194192	1.000000	3.220658	3.128026
bounded@0.3	grp-upto-1024	large-subject-throughput	plain	pcrec_334fd10e_auto-caps-simdna	125426.1	54.808197	8.854329	2.192277	1.000000	1.387041	1.001405	1.391561	1.434906
bounded@0.3	grp-upto-1024	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	123425.3	1.000030	1.000000	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.3	grp-upto-1024	match-compliance	whole-subject	pcrec_334fd10e_vm-caps-simdna	1874.7	excluded	excluded	1.069230	2.568218	1.000000	2.578551	1.026529	1.005555
bounded@0.3	grp-upto-1024	short-subject-search	plain	pcrec_334fd10e_auto-caps-simdna	989.0	48.230601	4.618825	1.387365	1.000000	1.116404	1.011552	1.130307	1.111960
bounded@0.3	hex32	large-subject-throughput	plain	pcrec_334fd10e_auto-caps-simdna	268965.2	4.499449	1.066275	2.129103	1.000000	1.379208	1.001772	1.379125	1.380819
bounded@0.3	hex32	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	2351.7	1.000000	1.003937	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.3	hex32	match-compliance	whole-subject	pcrec_d34c9131_vm-in-caps-simdna	677.2	excluded	excluded	1.240331	1.448149	1.029173	1.467411	1.031121	1.000000
bounded@0.3	hex32	short-subject-search	plain	pcrec_334fd10e_auto-caps-simdna	2806.9	11.480129	1.776315	6.269199	1.000000	3.978608	1.013945	3.935270	3.930047
bounded@0.3	line-80	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	32186.9	3.959065	1.000000	2.460983	2.343746	2.455331	2.348350	2.458147	2.459279
bounded@0.3	line-80	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	9784.7	1.000000	1.000193	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.3	line-80	match-compliance	whole-subject	pcrec_d34c9131_vm-in-caps-simdna	4625.6	excluded	excluded	1.036093	1.170220	1.003931	1.176547	1.004077	1.000000
bounded@0.3	line-80	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	2928.9	2.102192	1.000000	6.302184	1.256123	5.521839	1.266018	5.526551	5.539422
bounded@0.3	nest2-4	large-subject-throughput	plain	pcrec_334fd10e_auto-caps-simdna	73846.8	6.272082	1.432330	6.334256	1.000000	8.576717	1.013724	6.356867	6.321155
bounded@0.3	nest2-4	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	105170.8	1.002147	1.000000	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.3	nest2-4	match-compliance	whole-subject	pcrec_334fd10e_auto-caps-simdna	714.4	excluded	excluded	26.412280	1.000000	25.948032	1.057288	25.942990	25.951264
bounded@0.3	nest2-4	short-subject-search	plain	pcrec_334fd10e_auto-caps-simdna	1291.6	6.259923	2.121092	4.374649	1.000000	4.331407	1.001258	4.284651	4.373095
bounded@0.3	nest2-64	large-subject-throughput	plain	pcrec_d34c9131_auto-caps-simdna	62411.4	1.519414	1.166105	7.452719	1.000936	7.660272	1.000000	7.658524	7.451619
bounded@0.3	nest2-64	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	7681.8	1.000000	1.000525	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.3	nest2-64	match-compliance	whole-subject	pcrec_d34c9131_vm-caps-simdna	2100.8	excluded	excluded	1.058211	1.036669	1.000591	1.022306	1.000000	1.053560
bounded@0.3	nest2-64	short-subject-search	plain	pcrec_334fd10e_auto-caps-simdna	1697.1	4.071472	1.780542	3.647464	1.000000	3.608688	1.000637	3.606698	3.668590
bounded@0.3	nest2-letters-6	large-subject-throughput	plain	pcrec_334fd10e_auto-caps-simdna	132748.3	7.092318	1.326325	2.067532	1.000000	1.691669	1.005626	1.925571	2.044946
bounded@0.3	nest2-letters-6	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	11355876.9	1.000489	1.000000	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.3	nest2-letters-6	match-compliance	whole-subject	pcrec_334fd10e_auto-caps-simdna	1175.1	excluded	excluded	2029.925078	1.000000	2026.943438	1.026991	2031.332382	2027.258626
bounded@0.3	nest2-letters-6	short-subject-search	plain	pcrec_d34c9131_auto-caps-simdna	1157.1	6.137535	2.300933	3.772030	1.003040	3.529747	1.000000	3.522946	3.687364
bounded@0.3	nest3-16	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	54184.9	2.503504	1.000000	14.803430	1.151982	14.866490	1.153568	14.861151	14.823090
bounded@0.3	nest3-16	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	12675.7	1.000000	1.004279	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.3	nest3-16	match-compliance	whole-subject	pcrec_d34c9131_vm-in-caps-simdna	3368.8	excluded	excluded	1.007319	1.146428	1.163726	1.142939	1.164555	1.000000
bounded@0.3	nest3-16	short-subject-search	plain	pcrec_d34c9131_auto-caps-simdna	1695.4	5.328115	1.790792	6.013283	1.002273	5.960924	1.000000	5.967450	5.998075
bounded@0.3	nest3-3	large-subject-throughput	plain	pcrec_334fd10e_auto-caps-simdna	69703.0	7.465599	1.239807	6.477523	1.000000	6.442351	1.002062	6.457966	6.471687
bounded@0.3	nest3-3	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	18298027.5	1.001978	1.000000	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.3	nest3-3	match-compliance	whole-subject	pcrec_334fd10e_auto-caps-simdna	861.0	excluded	excluded	3312.123164	1.000000	3312.446818	1.035022	3300.170401	3257.849332
bounded@0.3	nest3-3	short-subject-search	plain	pcrec_334fd10e_auto-caps-simdna	1365.4	8.481925	2.034151	4.373647	1.000000	4.184059	1.009756	4.147114	4.241532
bounded@0.3	pw-8-64	large-subject-throughput	plain	pcrec_d34c9131_vm-caps-simdna	116531.3	3.030298	1.112377	1.121119	1.644609	1.014767	1.647032	1.000000	1.003031
bounded@0.3	pw-8-64	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	7172.8	1.000000	1.010848	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.3	pw-8-64	match-compliance	whole-subject	pcrec_d34c9131_vm-in-caps-simdna	2047.3	excluded	excluded	1.081671	1.724846	1.021332	1.727828	1.018630	1.000000
bounded@0.3	pw-8-64	short-subject-search	plain	pcrec_d34c9131_vm-in-caps-simdna	2272.0	3.124396	1.172566	1.075142	1.306431	1.096581	1.308349	1.009069	1.000000
bounded@0.3	year4	large-subject-throughput	plain	pcrec_d34c9131_auto-caps-simdna	88630.6	6.348618	2.772891	3.960182	1.016412	2.180496	1.000000	2.193853	2.214697
bounded@0.3	year4	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	2910.7	1.006857	1.000000	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.3	year4	match-compliance	whole-subject	pcrec_d34c9131_vm-in-caps-simdna	385.5	excluded	excluded	1.325781	1.412250	1.208760	1.450029	1.166720	1.000000
bounded@0.3	year4	short-subject-search	plain	pcrec_334fd10e_auto-caps-simdna	1772.8	7.875987	1.975343	4.654528	1.000000	2.732847	1.005998	2.701422	2.669921
