# reporter: v24 (2026-09-26); surface: matrix; filters: subbench=bounded, version=0.2, until=2026-09-02T00:00:00Z; source: store/index.tsv (11 record(s) matching this query); records: 10; subbench_versions: bounded@0.2; machines: budu-ryzen1600; schema_versions: 1.4; superseded: 1; newer_not_measured: 0; testees: libpcre2_10.46_interp-caps-simdna,libpcre2_10.46_jit-caps-simdna,pcrec_263b013_auto-caps-simdna,pcrec_263b013_auto-nocaps-simdna,pcrec_263b013_vm-caps-simdna,pcrec_263b013_vm-in-caps-simdna,pcrec_a7e0bdf_auto-caps-simdna,pcrec_a7e0bdf_auto-nocaps-simdna,pcrec_a7e0bdf_vm-caps-simdna,pcrec_a7e0bdf_vm-in-caps-simdna; capture_class: yes=libpcre2_10.46_interp-caps-simdna,libpcre2_10.46_jit-caps-simdna,pcrec_263b013_auto-caps-simdna,pcrec_263b013_vm-caps-simdna,pcrec_263b013_vm-in-caps-simdna,pcrec_a7e0bdf_auto-caps-simdna,pcrec_a7e0bdf_vm-caps-simdna,pcrec_a7e0bdf_vm-in-caps-simdna; no=pcrec_263b013_auto-nocaps-simdna,pcrec_a7e0bdf_auto-nocaps-simdna; undeclared=
# matrix: a data cell is testee median_ns / this ROW's best measured median_ns (best = lowest median_ns among the row's measured, pinned-tier, expectation-passing cells) -- ratios compare WITHIN A ROW ONLY, never across rows, patterns or subbenches; best_testee_pooled/best_ns_pooled recover the absolute scale a ratio alone loses. A cell excluded for a wrong answer or a give-up never enters the best-of comparison even where it also carries a timing. Closed status tokens, checked in this order: unsup = unsupported-by-declaration (the testee's own advance capability declaration, not an engine failure); refused = did-not-compile; wrong = excluded, n_wrong > 0; gave-up = excluded, n_gave_up > 0 and no wrong answer; no-expectation = excluded, n_no_expectation > 0 and no wrong answer or give-up (KB-27: no derived expectation exists for this (pattern, subject, regime) at all -- an oracle give-up dropped it at derivation, or nobody has authored one yet -- so there is nothing to compare the engine's own answer against, which is why this is checked AFTER wrong/gave-up rather than folded into either); excluded = every other reason a cell is not timed (a non-measured status, a scratch-tier row not included, a different form's own row, or this testee never ran this pattern under this row's form at all). A row with regime_or_na="" and form="" is F26's own case (docs/design/predicate_audit_v1.md): every testee in the roster refused or declared unsupported for that pattern, so no ranking group -- and no regime -- ever existed for it; every (row, testee) cell in this file is populated, by construction, never blank.
# capture_class disclosure (inbox I-99; [B91]): best_testee_pooled/best_ns_pooled and every ratio cell above are the row's best/ratio ACROSS THE WHOLE roster -- POOLED: a capturing config's ratio may be computed against a non-capturing config's median, or vice versa, when both classes are present in this query. best_testee_yes/best_ns_yes and best_testee_no/best_ns_no are the row's best over the capture_class yes / no testees ONLY (same rankability rule; empty where that class has no rankable cell in the row; an undeclared testee is in neither), so a class-pure ratio is ratio x best_ns_pooled / best_ns_<class>. These match the report's own class-pure ranking sections; matrix_page.py recomputes every best and ratio over the reader's own testee selection from each cell's ratio x best_ns_pooled, never from a second reduction.
subbench	pattern	regime_or_na	form	best_testee_pooled	best_ns_pooled	best_testee_yes	best_ns_yes	best_testee_no	best_ns_no	libpcre2_10.46_interp-caps-simdna	libpcre2_10.46_jit-caps-simdna	pcrec_263b013_auto-caps-simdna	pcrec_263b013_auto-nocaps-simdna	pcrec_263b013_vm-caps-simdna	pcrec_263b013_vm-in-caps-simdna	pcrec_a7e0bdf_auto-caps-simdna	pcrec_a7e0bdf_auto-nocaps-simdna	pcrec_a7e0bdf_vm-caps-simdna	pcrec_a7e0bdf_vm-in-caps-simdna
bounded@0.2	ctx-lazy-64	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	4509.0	libpcre2_10.46_jit-caps-simdna	4509.0	pcrec_a7e0bdf_auto-nocaps-simdna	8102.6	6.076627	1.000000	1.852391	1.802019	4.924583	4.939428	1.799406	1.796993	4.990220	4.984393
bounded@0.2	dotted4	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	34564.7	libpcre2_10.46_jit-caps-simdna	34564.7	pcrec_a7e0bdf_auto-nocaps-simdna	66477.2	1.796961	1.000000	1.948280	1.937558	25.848117	26.720843	1.923169	1.923268	26.757392	26.657185
bounded@0.2	dotted4	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	1473.4	libpcre2_10.46_jit-caps-simdna	1473.4			1.011097	1.000000	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.2	dotted4	match-compliance	whole-subject	pcrec_263b013_auto-nocaps-simdna	364.3	pcrec_263b013_auto-caps-simdna	370.5	pcrec_263b013_auto-nocaps-simdna	364.3	excluded	excluded	1.016961	1.000000	1.327313	1.483596	1.019872	1.040573	1.312839	1.479371
bounded@0.2	dotted4	short-subject-search	plain	pcrec_263b013_auto-nocaps-simdna	2372.0	pcrec_263b013_auto-caps-simdna	2408.2	pcrec_263b013_auto-nocaps-simdna	2372.0	4.769832	1.047574	1.015290	1.000000	9.259615	9.400250	1.129816	1.121794	9.231195	9.388237
bounded@0.2	floor	large-subject-throughput	plain	pcrec_a7e0bdf_auto-nocaps-simdna	1672.4	pcrec_a7e0bdf_auto-caps-simdna	1672.8	pcrec_a7e0bdf_auto-nocaps-simdna	1672.4	1.074832	2.559811	1.001420	1.002996	170.243978	169.964602	1.000226	1.000000	169.776438	169.774037
bounded@0.2	floor	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	866.4	libpcre2_10.46_jit-caps-simdna	866.4			1.000520	1.000000	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.2	floor	match-compliance	whole-subject	pcrec_a7e0bdf_vm-caps-simdna	231.4	pcrec_a7e0bdf_vm-caps-simdna	231.4	pcrec_263b013_auto-nocaps-simdna	294.0	excluded	excluded	1.267457	1.270222	1.037954	1.190838	1.321567	1.313552	1.000000	1.188337
bounded@0.2	floor	short-subject-search	plain	pcrec_263b013_auto-caps-simdna	328.0	pcrec_263b013_auto-caps-simdna	328.0	pcrec_a7e0bdf_auto-nocaps-simdna	328.1	4.254725	3.621088	1.000000	1.003185	13.630795	13.694848	1.002606	1.000208	14.270205	14.216607
bounded@0.2	grp-upto-1024	large-subject-throughput	plain	pcrec_a7e0bdf_auto-nocaps-simdna	213853.9	pcrec_a7e0bdf_auto-caps-simdna	214433.9	pcrec_a7e0bdf_auto-nocaps-simdna	213853.9	32.200088	5.081837	1.944986	1.946446	1.102867	1.261715	1.002712	1.000000	1.100044	1.257316
bounded@0.2	grp-upto-1024	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	33555.1	libpcre2_10.46_jit-caps-simdna	33555.1			1.001806	1.000000	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.2	grp-upto-1024	match-compliance	whole-subject	pcrec_a7e0bdf_vm-in-caps-simdna	716.7	pcrec_a7e0bdf_vm-in-caps-simdna	716.7	pcrec_263b013_auto-nocaps-simdna	1355.2	excluded	excluded	1.893984	1.890823	1.042035	1.010247	1.922900	1.922876	1.037204	1.000000
bounded@0.2	grp-upto-1024	short-subject-search	plain	pcrec_263b013_vm-caps-simdna	840.8	pcrec_263b013_vm-caps-simdna	840.8	pcrec_a7e0bdf_auto-nocaps-simdna	1083.1	39.868261	3.664934	2.885848	2.886213	1.000000	1.079956	1.290900	1.288242	1.001014	1.081750
bounded@0.2	hex32	large-subject-throughput	plain	pcrec_a7e0bdf_auto-nocaps-simdna	255794.7	pcrec_a7e0bdf_auto-caps-simdna	257154.0	pcrec_a7e0bdf_auto-nocaps-simdna	255794.7	4.716737	1.122989	1.233233	1.226216	2.235065	2.242180	1.005314	1.000000	2.234113	2.234743
bounded@0.2	hex32	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	1416.4	libpcre2_10.46_jit-caps-simdna	1416.4			1.026794	1.000000	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.2	hex32	match-compliance	whole-subject	pcrec_263b013_vm-caps-simdna	483.9	pcrec_263b013_vm-caps-simdna	483.9	pcrec_263b013_auto-nocaps-simdna	561.5	excluded	excluded	1.170595	1.160347	1.000000	1.036066	1.196324	1.194428	1.019718	1.024260
bounded@0.2	hex32	short-subject-search	plain	pcrec_a7e0bdf_auto-caps-simdna	2545.6	pcrec_a7e0bdf_auto-caps-simdna	2545.6	pcrec_a7e0bdf_auto-nocaps-simdna	2590.7	11.785726	1.609700	1.165269	1.154277	5.989298	5.977040	1.000000	1.017738	5.979537	5.978958
bounded@0.2	line-80	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	32295.3	libpcre2_10.46_jit-caps-simdna	32295.3	pcrec_a7e0bdf_auto-nocaps-simdna	75574.9	3.946521	1.000000	2.424059	2.351398	2.468819	2.452950	2.343296	2.340125	2.451437	2.448964
bounded@0.2	line-80	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	5283.6	libpcre2_10.46_jit-caps-simdna	5283.6			1.002787	1.000000	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.2	line-80	match-compliance	whole-subject	pcrec_a7e0bdf_vm-caps-simdna	2345.6	pcrec_a7e0bdf_vm-caps-simdna	2345.6	pcrec_263b013_auto-nocaps-simdna	3313.8	excluded	excluded	1.422933	1.412782	1.002495	1.024505	1.419237	1.417285	1.000000	1.024902
bounded@0.2	line-80	short-subject-search	plain	libpcre2_10.46_jit-caps-simdna	2150.4	libpcre2_10.46_jit-caps-simdna	2150.4	pcrec_a7e0bdf_auto-nocaps-simdna	3224.6	2.491943	1.000000	2.503932	2.480312	6.126010	6.170814	1.478715	1.499522	6.114434	6.171903
bounded@0.2	nest2-4	large-subject-throughput	plain	pcrec_a7e0bdf_auto-nocaps-simdna	83981.0	pcrec_a7e0bdf_auto-caps-simdna	84317.0	pcrec_a7e0bdf_auto-nocaps-simdna	83981.0	5.472106	1.275137	1.190954	1.188919	5.607928	7.550746	1.004001	1.000000	6.452121	5.590009
bounded@0.2	nest2-4	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	53506.3	libpcre2_10.46_jit-caps-simdna	53506.3			1.001949	1.000000	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.2	nest2-4	match-compliance	whole-subject	pcrec_263b013_auto-nocaps-simdna	406.3	pcrec_263b013_auto-caps-simdna	406.7	pcrec_263b013_auto-nocaps-simdna	406.3	excluded	excluded	1.001066	1.000000	23.155390	23.493267	1.042004	1.034070	23.087574	23.265427
bounded@0.2	nest2-4	short-subject-search	plain	pcrec_a7e0bdf_auto-caps-simdna	913.6	pcrec_a7e0bdf_auto-caps-simdna	913.6	pcrec_a7e0bdf_auto-nocaps-simdna	920.9	5.819268	1.971810	1.016110	1.012655	4.352270	5.633219	1.000000	1.008001	4.297501	4.375539
bounded@0.2	nest2-64	large-subject-throughput	plain	pcrec_a7e0bdf_auto-nocaps-simdna	65519.6	pcrec_a7e0bdf_auto-caps-simdna	65602.0	pcrec_a7e0bdf_auto-nocaps-simdna	65519.6	1.461116	1.112360	1.589141	1.587774	7.310759	7.114292	1.001258	1.000000	7.285677	7.101364
bounded@0.2	nest2-64	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	4102.8	libpcre2_10.46_jit-caps-simdna	4102.8			1.000748	1.000000	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.2	nest2-64	match-compliance	whole-subject	pcrec_263b013_auto-nocaps-simdna	875.5	pcrec_263b013_vm-caps-simdna	876.0	pcrec_263b013_auto-nocaps-simdna	875.5	excluded	excluded	1.001021	1.000000	1.000632	1.081038	1.048962	1.050904	1.012950	1.093314
bounded@0.2	nest2-64	short-subject-search	plain	pcrec_a7e0bdf_auto-nocaps-simdna	1256.1	pcrec_a7e0bdf_auto-caps-simdna	1257.6	pcrec_a7e0bdf_auto-nocaps-simdna	1256.1	3.929292	1.657608	1.501899	1.499086	3.500760	3.545382	1.001174	1.000000	3.496537	3.548590
bounded@0.2	nest2-letters-6	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	176229.6	libpcre2_10.46_jit-caps-simdna	176229.6	pcrec_a7e0bdf_auto-nocaps-simdna	194527.5	5.317449	1.000000	1.759681	1.759536	1.491165	1.763351	1.105543	1.103830	1.293457	1.723906
bounded@0.2	nest2-letters-6	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	4881375.6	libpcre2_10.46_jit-caps-simdna	4881375.6			1.000430	1.000000	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.2	nest2-letters-6	match-compliance	whole-subject	pcrec_263b013_auto-caps-simdna	595.5	pcrec_263b013_auto-caps-simdna	595.5	pcrec_263b013_auto-nocaps-simdna	595.8	excluded	excluded	1.000000	1.000533	1724.764835	1726.505523	1.030616	1.026682	1722.725507	1721.107289
bounded@0.2	nest2-letters-6	short-subject-search	plain	pcrec_a7e0bdf_auto-caps-simdna	859.1	pcrec_a7e0bdf_auto-caps-simdna	859.1	pcrec_a7e0bdf_auto-nocaps-simdna	896.4	5.652156	2.088589	1.251605	1.251914	3.463380	3.763951	1.000000	1.043411	3.669414	3.854989
bounded@0.2	nest3-16	large-subject-throughput	plain	libpcre2_10.46_jit-caps-simdna	58364.0	libpcre2_10.46_jit-caps-simdna	58364.0	pcrec_a7e0bdf_auto-nocaps-simdna	66432.5	2.333568	1.000000	1.786840	1.785750	13.834126	13.858937	1.132026	1.138245	13.887306	13.953485
bounded@0.2	nest3-16	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	6481.0	libpcre2_10.46_jit-caps-simdna	6481.0			1.002075	1.000000	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.2	nest3-16	match-compliance	whole-subject	pcrec_263b013_auto-nocaps-simdna	1683.5	pcrec_263b013_auto-caps-simdna	1687.9	pcrec_263b013_auto-nocaps-simdna	1683.5	excluded	excluded	1.002596	1.000000	1.022887	1.041661	1.035898	1.036858	1.070519	1.088426
bounded@0.2	nest3-16	short-subject-search	plain	pcrec_a7e0bdf_auto-nocaps-simdna	1255.0	pcrec_a7e0bdf_auto-caps-simdna	1259.0	pcrec_a7e0bdf_auto-nocaps-simdna	1255.0	5.137511	1.683679	1.501041	1.500791	5.829841	6.043151	1.003227	1.000000	5.892129	5.988800
bounded@0.2	nest3-3	large-subject-throughput	plain	pcrec_a7e0bdf_auto-caps-simdna	77468.0	pcrec_a7e0bdf_auto-caps-simdna	77468.0	pcrec_a7e0bdf_auto-nocaps-simdna	77625.7	6.749816	1.165024	1.312414	1.313736	5.971132	6.144218	1.000000	1.002037	5.798018	5.824889
bounded@0.2	nest3-3	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	6129581.9	libpcre2_10.46_jit-caps-simdna	6129581.9			1.003487	1.000000	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.2	nest3-3	match-compliance	whole-subject	pcrec_263b013_auto-nocaps-simdna	471.1	pcrec_263b013_auto-caps-simdna	473.9	pcrec_263b013_auto-nocaps-simdna	471.1	excluded	excluded	1.005891	1.000000	2024.780454	2019.560013	1.049519	1.041671	1988.352305	2007.172755
bounded@0.2	nest3-3	short-subject-search	plain	pcrec_a7e0bdf_auto-caps-simdna	964.2	pcrec_a7e0bdf_auto-caps-simdna	964.2	pcrec_a7e0bdf_auto-nocaps-simdna	967.0	7.609144	1.890690	1.095537	1.090446	4.224580	5.064516	1.000000	1.002967	4.192606	4.288893
bounded@0.2	pw-8-64	large-subject-throughput	plain	pcrec_263b013_vm-caps-simdna	125943.9	pcrec_263b013_vm-caps-simdna	125943.9	pcrec_a7e0bdf_auto-nocaps-simdna	209820.6	2.798475	1.037664	3.168827	3.131015	1.000000	1.027476	1.667990	1.665985	1.004857	1.024418
bounded@0.2	pw-8-64	match-compliance	plain	libpcre2_10.46_interp-caps-simdna	4763.3	libpcre2_10.46_interp-caps-simdna	4763.3			1.000000	1.000724	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.2	pw-8-64	match-compliance	whole-subject	pcrec_263b013_vm-caps-simdna	1466.4	pcrec_263b013_vm-caps-simdna	1466.4	pcrec_263b013_auto-nocaps-simdna	2416.1	excluded	excluded	1.669592	1.647661	1.000000	1.017525	1.659964	1.660805	1.011433	1.020621
bounded@0.2	pw-8-64	short-subject-search	plain	pcrec_263b013_vm-caps-simdna	1636.5	pcrec_263b013_vm-caps-simdna	1636.5	pcrec_a7e0bdf_auto-nocaps-simdna	2190.9	3.129422	1.137203	2.665998	2.639751	1.000000	1.055179	1.426103	1.338769	1.008569	1.058075
bounded@0.2	year4	large-subject-throughput	plain	pcrec_263b013_auto-nocaps-simdna	114221.0	pcrec_263b013_auto-caps-simdna	116046.0	pcrec_263b013_auto-nocaps-simdna	114221.0	4.928847	2.198252	1.015978	1.000000	2.494853	2.642917	1.107414	1.106892	2.485050	2.624359
bounded@0.2	year4	match-compliance	plain	libpcre2_10.46_jit-caps-simdna	1758.1	libpcre2_10.46_jit-caps-simdna	1758.1			1.006615	1.000000	excluded	excluded	excluded	excluded	excluded	excluded	excluded	excluded
bounded@0.2	year4	match-compliance	whole-subject	pcrec_263b013_vm-in-caps-simdna	306.4	pcrec_263b013_vm-in-caps-simdna	306.4	pcrec_263b013_auto-nocaps-simdna	321.2	excluded	excluded	1.056407	1.048274	1.037071	1.000000	1.142547	1.129886	1.082686	1.002200
bounded@0.2	year4	short-subject-search	plain	pcrec_a7e0bdf_auto-nocaps-simdna	1579.6	pcrec_a7e0bdf_auto-caps-simdna	1588.5	pcrec_a7e0bdf_auto-nocaps-simdna	1579.6	8.041323	1.728342	1.012103	1.002220	4.187153	4.185244	1.005652	1.000000	4.208510	4.222809
